projectName,projectId,title,hyperlink,utcDate,utcTime
Uprock,1rtzqi,Weekly Call #17,https://www.youtube.com/watch?v=nakW_KLtSGo,8/22/24,17:30
Nym,5gc718,Art Contest,https://discord.com/events/824256813200834580/1273677045380943902,8/22/24,14:00
Spheron,bpnvkv,Why Decentralised GPU Networks are more important than ever,https://x.com/SpheronFDN/status/1826198811238191277,8/23/24,10:00
Carbide,wgg8nc,Disrupt with DePIN,https://lu.ma/6narjcib,9/15/24,23:00
U2U,hz8qel,DePIN Alliance,https://lu.ma/6q0de1nm,9/16/24,4:00
IoTeX,oqhdss,R3al World,https://lu.ma/r3al-world-depin-summit-token2049,9/16/24,4:00
Aethir,oo2cn2,In the World of DePin,https://lu.ma/DePinDayAethirDNA,9/17/24,3:00
Frodobots,zsejow,DePIN Founders Day,https://lu.ma/qx7l81vd,9/17/24,4:00
Parasail,n4gf96,DePIN Mass Adoption,https://lu.ma/0vcwqb7w,9/17/24,5:30
Autonomys,p9x9o3,AI + DePIN Happy Hour,https://lu.ma/0qg50tbt,9/17/24,12:00
Helium,5bm99m,The Power of Permissionless Infrastructure Networks,https://sg2024.token2049.com/agenda/session/1405972,9/17/24,14:55
Peaq,vx7fas,depin:lounge,https://lu.ma/sp0ypi2f,9/18/24,11:00
Hivemapper,o1qnxa,DePIN Asia,https://lu.ma/DePIN,9/18/24,11:30
Bittensor,hq4rl7,Bittensor Asia Community Meetup,https://lu.ma/wlm6qt2a,9/19/24,2:00
Witness Chain,ooq2m5,DePIN x AI Frontiers,https://lu.ma/bx3l6xmo,9/19/24,4:00
Daylight,3lfveq,DeEnergy Side Event,https://lu.ma/ac0lcvoj,9/19/24,5:00
DePHY,gmxzzx,DePIN Impact,https://lu.ma/depinday,9/19/24,6:00
Onocoy,n77nem,DePIN United,https://lu.ma/mihtyvu5,9/19/24,10:00
Fluence,ul9uzl,DePIN Day,https://lu.ma/depin-singapore,9/20/24,2:00
Cudis,34ddzp,Bing Bong Presents: Cudis Night,https://lu.ma/03at05i1,9/20/24,14:00

MyShell,1gfb8a,"Decentralized AI Breakfast",https://lu.ma/qto5hqug?tk=UU72Z0,09/16/2024,23:00
